Sents;Class;;;;;
The stable way of business life many corporate purchasing departments enjoy has been increasingly imperiled.;0;;;;;
As dozens of companies have already learned, supply and demand patterns can be upset virtually overnight.;0;;;;;
What capabilities will a profitable international business need to sustain itself in the face of strong protectionist pressures?;0;;;;;
Almost every kind of manufacturer will have to answer these questions.;0;;;;;
Some companies have already responded to the growing pressures.;0;;;;;
Finding that purchasing outlays had increased in less than one year to 70% of the cost of goods sold, one European office-equipment manufacturer began to rely more heavily on American and Japanese suppliers, revise its materials planning system to reduce in-process inventories, and require its divisions to add people with electronics and foreign language skills to their purchasing staffs.;0;;;;;
We have established ties to a foreign country and recently acquired another company as part of their new purchasing strategies.;4;;;;;
In many companies, purchasing, perhaps more than any other business function, is wedded to routine.;0;;;;;
Ignoring or accepting countless economic and political disruptions to their supply of materials, companies continue to negotiate annually with their established networks of suppliers or sources.;4;;;;;
But many purchasing managers skills and outlooks were formed 20 years ago in an era of relative stability, and they have not changed.;0;;;;;
Now no company can allow purchasing to lag behind other departments in acknowledging and adjusting to worldwide environmental and economic changes.;0;;;;;
Such an attitude is not only obsolete but also costly.;0;;;;;
The author offers pragmatic advice on how top management can recognize the extent of its own supply weakness and treat it with a comprehensive strategy to manage supply.;0;;;;;
He leads the reader step by step from the roots of the problem to the implementation of a solution.;0;;;;;
US auto manufacturers who customarily relied on domestic materials procurement are now reevaluating their supply schemes and broadening their scope of potential suppliers.;1;;;;;
Ford not only manufactures parts of its world car in several foreign subsidiaries but also buys transmission axles from its Japanese subsidiary.;0;;;;;
Chrysler, which was sourcing engines from Volkswagen, now buys engines from Mitsubishi.;0;;;;;
"Predictions are the US car industry will source 40% of its parts and components from abroad; 15 years ago it sourced only 5% from other countries.";0;;;;;
Others that already source on a global basis must learn to cope with uncertainties and supply or price disruptions on an unprecedented scale.;3;;;;;
Instead of simply monitoring current developments, management must learn to make things happen to its own advantage.;0;;;;;
This calls for nothing less than a total change of perspective: from purchasing) to supply management.;0;;;;;
Whenever a manufacturer must procure a volume of critical items competitively under complex conditions, supply management is relevant.;0;;;;;
Attractive new options, or serious vulnerabilities, or both, may come to light as the assessment explores questions like these.;0;;;;;
Supply is highly vulnerable to production problems.;3;;;;;
Is the company making good use of opportunities for concerted action among different divisions and/or subsidiaries?;0;;;;;
Combining the supply requirements of different divisions can increase the corporation's total buying clout.;2;;;;;
One international transportation company was buying three kinds of fuel separately: bunker oil for shipping, jet fuel for airfreight, and gasoline for trucks.;0;;;;;
The company's top management promptly ordered a change in purchasing policy to build up alternative domestic sources.;3;;;;;
A company can often take action to lessen unacceptable risk.;3;;;;;
What make-or-buy policies will give the best balance between cost and flexibility to cope with supply bottlenecks?;3;;;;;
Shaping the Supply Strategy To minimize their supply vulnerabilities is key to deal with difficult sourcing challenges.;3;;;;;
The approach has given them a simple but effective framework for collecting marketing and corporate data, forecasting future supply scenarios, and identifying available purchasing options as well as for developing individual supply strategies.;0;;;;;
A low availablilty of supply sources increases the supply risk.;3;;;;;
Low availability of scarce materials contributes to a higher risk profile of a company.;3;;;;;
Following this approach, the company first classifies all its purchased materials or components in terms of profit impact and supply risk.;0;;;;;
Next it analyzes the supply market for these materials.;0;;;;;
Then it determines its overall strategic supply position.;0;;;;;
It develops materials strategies and action plans.;0;;;;;
;0;;;;;
Supply risk is assessed in terms of availability, number of suppliers, competitive demand, make-or-buy opportunities, and storage risks and substitution possibilities.;0;;;;;
Each of these four categories requires a distinctive purchasing approach, whose complexity is in proportion to the strategic implications.;0;;;;;
As companies like Akzo, the giant Dutch chemical producer, have found, this classification permits a more differentiated and hence better focused approach to the analysis of supply market data.;0;;;;;
Shifts in supply or demand patterns can alter a material's strategic category.;0;;;;;
Therefore, any purchasing portfolio classification calls for regular updating.;0;;;;;
Phase 2: Market Analysis: Next the company weights the bargaining power of its suppliers against its own strength as a customer.;0;;;;;
It systematically reviews the supply market, assessing the availability of strategic materials in terms of both quality and quantity, and the relative strength of existing vendors.;0;;;;;
The company then analyzes its own needs and supply lines to gauge its ability to get the kind of supply terms it wants.;0;;;;;
Of the contrasting criteria of supplier and company strength listed in Exhibit III, some are self-explanatory.;0;;;;;
But six call for special comment.;0;;;;;
Supplier's break-even stability: A supplier that achieves break-even at below 70% capacity utilization can ultimately deliver at lower cost than one who breaks even at 80% utilization.;0;;;;;
Annual volume purchased and expected growth in demand: Volume, the main determinant of the company's overall bargaining power, is critical because economies of scale in purchasing often yield a decisive competitive cost advantage.;0;;;;;
In the case of many automotive parts, cost reductions as large as 4% can often be achieved by doubling the volume allocated to a given supplier.;0;;;;;
Past variations in capacity utilization of main production units.;0;;;;;
A company can judge the built-in flexibility of its supply coverage from past variations in demand resulting from sales strategies and promotions, changes in the order backlog, or overall economic conditions.;0;;;;;
In turn, projected profits may decline.;0;;;;;
